p_s_per_km,X_degree,T_second,T_reduced_second,turn_depth_km,phase_name,branch_name
0.0744705,39.83415770814,457.25684515409,58.9152680726901,961.081678406289,P,turn below 670 km
0.075026,38.9941001731685,450.269439683929,60.328437952244,939.273890765828,P,turn below 670 km
0.0755815,38.1304339458556,443.033043443819,61.7287039852629,917.700809431868,P,turn below 670 km
0.076137,37.2060243419812,435.229394301024,63.1691508812125,896.358703281611,P,turn below 670 km
0.0766925,36.253058683895,427.121027031388,64.5904401924383,875.243965656913,P,turn below 670 km
0.077248,35.4496147498204,420.229290937747,65.7331434395434,853.593619267058,P,turn below 670 km
0.0778035,34.2802466326311,410.141284542063,67.3388182157527,831.977024410614,P,turn below 670 km
0.078359,32.9914455672915,398.943872068601,69.0294163956855,810.583958370949,P,turn below 670 km
0.0789145,31.5205111367341,386.074396950572,70.869285583231,789.411046058476,P,turn below 670 km
0.07947,28.9892411432123,363.770169361842,73.8777579297196,769.148543156345,P,turn below 670 km
0.0800255,28.2824840538369,357.498375489489,74.6735349511209,754.067370117377,P,turn below 670 km
0.080581,27.4960153460995,350.470675253179,75.5105217921839,739.153941653861,P,turn below 670 km
0.0811365,26.6606666130127,342.955004404063,76.348338273936,724.406089250511,P,turn below 670 km
0.081692,25.5751958498411,333.120654575812,77.3686960774006,709.821347203521,P,turn below 670 km
0.0822475,24.4507180715944,322.861929081031,78.3547483650868,695.396064621986,P,turn below 670 km
0.082803,22.7417832534941,307.171072572331,79.7532400373897,681.128499213252,P,turn below 670 km
0.0833585,19.0271754622328,272.846460559683,82.5747059373546,670,P,turn at 670 km
0.083914,19.6729026324477,278.852082216689,82.1230558922118,670,P,turn at 670 km
0.0844695,20.4104708451405,285.757519170921,81.6528107195161,670,P,turn at 670 km
0.085025,21.2758186315309,293.91287830447,81.1546919891613,670,P,turn at 670 km
0.0855805,22.3332065207959,303.943682699885,80.6116174919264,670,P,turn at 670 km
0.086136,23.718471400347,317.171082482109,79.9863684786391,670,P,turn at 670 km
0.0866915,25.8339422300494,337.504149376683,79.1647270761896,670,P,turn at 670 km
0.087247,30.791589947526,385.453929338488,77.5380298632282,665.927408154324,P,turn between 400 and 670 km
0.0878025,29.5298563650846,373.167345195835,77.8687815449892,646.52424849893,P,turn between 400 and 670 km
0.088358,28.0461522111457,358.629279249138,78.1677571376808,627.300716566522,P,turn between 400 and 670 km
0.0889135,25.9133451235047,337.597717061304,78.4642658262573,608.254030614129,P,turn between 400 and 670 km
0.089469,23.4552857929635,313.243957946873,78.6911000172379,594.85501084306,P,turn between 400 and 670 km
0.0900245,23.2621273201776,311.312542956358,78.6912697545819,585.8061057394,P,turn between 400 and 670 km
0.09058,23.0791455313781,309.471870631791,78.6804153180105,576.854366412116,P,turn between 400 and 670 km
0.0911355,22.9156629437494,307.816841292053,78.6602118545591,567.932589602561,P,turn between 400 and 670 km
0.091691,22.6966006774853,305.58696690042,78.6209601255668,558.978853516284,P,turn between 400 and 670 km
0.0922465,22.4785657986187,303.354009077633,78.5683510914459,550.119377524613,P,turn between 400 and 670 km
0.092802,22.261343293194,301.115822624394,78.5023896924537,541.352700792009,P,turn between 400 and 670 km
0.0933575,22.0448278312257,298.871354324999,78.4230760127413,532.677398261927,P,turn between 400 and 670 km
0.093913,21.8290173573091,296.620610845022,78.3304372719311,524.092079601621,P,turn between 400 and 670 km
0.0944685,21.6139234248417,294.363750781652,78.2245165332348,515.595388184174,P,turn between 400 and 670 km
0.095024,21.3994924481929,292.100259876897,78.105335394968,507.186000106246,P,turn between 400 and 670 km
0.0955795,21.2064659996681,290.050833329769,77.9861733330881,498.862296905422,P,turn between 400 and 670 km
0.096135,21.0089071056391,287.941637114988,77.8525660585965,490.622975090171,P,turn between 400 and 670 km
0.0966905,20.7930599377794,285.62430531057,77.6937059327757,482.467096025672,P,turn between 400 and 670 km
0.097246,20.5744140254109,283.262935837019,77.5187955829094,474.393458461744,P,turn between 400 and 670 km
0.0978015,20.3561912300572,280.892226432407,77.3303141318353,466.409616854508,P,turn between 400 and 670 km
0.098357,20.1710388778404,278.869370636946,77.1589818585424,458.511306032532,P,turn between 400 and 670 km
0.0989125,19.9501858608521,276.443982187319,76.9421235787986,450.691328936784,P,turn between 400 and 670 km
0.099468,19.7148619523617,273.844927832313,76.6963083086961,442.948712514591,P,turn between 400 and 670 km
0.1000235,19.4645213946469,271.064152124018,76.4189381775488,435.282376323855,P,turn between 400 and 670 km
0.100579,19.2235248681104,268.372645324806,76.1373966437021,427.690542200087,P,turn between 400 and 670 km
0.1011345,18.9009274931718,264.751270202979,75.7419952712612,420.1725935776,P,turn between 400 and 670 km
0.10169,18.480420863584,260.004868458293,75.2006598224528,412.727764919895,P,turn between 400 and 670 km
0.1022455,17.8392915773758,252.729921573711,74.3370057999523,405.354404339177,P,turn between 400 and 670 km
0.102801,16.2610519866305,234.738705752162,72.1281858858566,400,P,turn at 400 km
0.1033565,17.0767388230292,244.088784528688,73.3213962983951,400,P,turn at 400 km
0.103912,18.0943848585033,255.817053371089,74.8732047860552,400,P,turn at 400 km
0.1044675,19.479361014987,271.865180584011,77.0715704341408,400,P,turn at 400 km
0.105023,21.9273677772021,300.388070921995,81.1143931499738,400,P,turn at 400 km
0.1055785,24.0249170096549,324.895114706712,84.6459446101629,390.69052249885,P,turn above 400 km
0.106134,23.5548660462382,319.357748081007,83.8090876186251,377.577391113409,P,turn above 400 km
0.1066895,23.1164516463399,314.163366296127,82.9988498327284,364.178080858376,P,turn above 400 km
0.107245,22.4474165933235,306.201033002267,81.726867069032,350.487325290919,P,turn above 400 km
0.1078005,21.7523597620481,297.886290681756,80.3626930612746,336.906941708457,P,turn above 400 km
0.108356,21.0257144781912,289.148912706168,78.8917679242561,323.43563512118,P,turn above 400 km
0.1089115,20.2598640274352,279.89287586857,77.2942355942177,310.072139628135,P,turn above 400 km
0.109467,19.4440186604108,269.982216846309,75.5420302422005,296.815217690697,P,turn above 400 km
0.1100225,18.5617408164581,259.210042499054,73.5926343344734,283.663659428084,P,turn above 400 km
0.110578,17.5761590252836,247.115570143745,71.3539798909084,270.618465133753,P,turn above 400 km
0.1111335,16.5265532935504,234.171798216017,68.9062652805125,257.747498839819,P,turn above 400 km
0.111689,15.2357975712613,218.175791584234,65.8178158716204,244.977670347115,P,turn above 400 km
0.1122445,13.501248203481,196.572437544633,61.5599555098231,232.308176918705,P,turn above 400 km
0.1128,9.21046417052262,142.840358369612,50.7357166643861,220.000000000001,P,turn above 400 km
